Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Random Forest,0.9780701754385965,0.9823008849557522,0.9736842105263158,0.9779735682819384,0.9990189289012004
XGBoost,0.993421052631579,0.9955947136563876,0.9912280701754386,0.9934065934065934,0.9998461064943059
XGBoost + Optuna,0.993421052631579,0.9955947136563876,0.9912280701754386,0.9934065934065934,0.9998653431825177
